cargo,nome empresa,local,link
Analista de Sistemas,CS2,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/analista-de-sistemas/31442404/
Work From Home Senior Analytics Engineer,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-senior-analytics-engineer/31446580/
Engenheiro de Dados Sênior,Empresa Confidencial,Taboão da Serra - SP (1),https://www.catho.com.br/vagas/engenheiro-de-dados-senior/31436372/
Desenvolvedor-Analista Programador. Tecnologias Emergentes (nível pleno),NTL,São Paulo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-analista-programador-tecnologias-emergentes-nivel-pleno/31391415/
"Analista de TI – Integrações, Dados e ERP",Daniela Silva,Brasilia - DF (1),https://www.catho.com.br/vagas/analista-de-ti-integracoes-dados-e-erp/31285278/
Técnico de Desenvolvimento de Produtos,MICROBLAU AUTOMAÇÃO,São Caetano do Sul - SP (1),https://www.catho.com.br/vagas/tecnico-de-desenvolvimento-de-produtos/31278984/
Desenvolvedor Full Stack,Empresa Confidencial,Goiania - GO (1),https://www.catho.com.br/vagas/desenvolvedor-full-stack/31265757/
Desenvolvedor Full Stack,Empresa Confidencial,São Paulo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-full-stack/31195338/
Desenvolvedor(a) Sênior Full Stack com Experiência em AWS - RIO DE JANEIRO,CONCILIE ONLINE,Rio de Janeiro - RJ (1),https://www.catho.com.br/vagas/desenvolvedora-senior-full-stack-com-experiencia-em-aws-rio-de-janeiro/31170238/
Work From Home Data Engineer,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-data-engineer/31447332/
Work From Home Data Platform Engineer,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-data-platform-engineer/31446528/
Work From Home Semi Senior QA Automation / Research + Development,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-semi-senior-qa-automation-research-plus-development/31446578/
Work From Home Senior Data Analyst,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-senior-data-analyst/31446582/
Work From Home Senior Data Scientist,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-senior-data-scientist/31446584/
Work From Home Senior Software Development Engineer in Test / R+D,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-senior-software-development-engineer-in-test-r-plusd/31447038/
Work From Home ETL Engineer,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-etl-engineer/31447114/
"Desenvolvedor Back-end Sênior - NodeJS, Stripe, Amazon AWS",GO OLIVIERI APLICATIVOS E SOFTWARES,São Bernardo do Campo - SP (1),https://www.catho.com.br/vagas/desenvolvedor-back-end-senior-nodejs-stripe-amazon-aws/31143462/
Work From Home Data Engineer,BAIRESDEV,Aracaju - SE (1),https://www.catho.com.br/vagas/work-from-home-data-engineer/31447332/
Coordenador de Sistemas,ESPACOLASER.,São Paulo - SP (1),https://www.catho.com.br/vagas/coordenador-de-sistemas/31333116/
Engenheiro de Desenvolvimento IA,MOLLICA IT,São Paulo - SP (1),https://www.catho.com.br/vagas/engenheiro-de-desenvolvimento-ia/31282835/
Estágio - Engenharia (Qualidade),RENAULT,São José dos Pinhais - PR (1),https://www.catho.com.br/vagas/estagio-engenharia-qualidade/31277176/
